Date,Day,Expiry.Day,Start.Time,End.Time,Future,Strike,CE Price,PE Price,Premium,SL.Time,Target,UT Scrip,UT.open,UT.high,UT.low,UT.close,Straddle.PL,UT.PL,Total PNL
2024-05-17,Friday,FALSE,10:50:00,15:25:00,22492.55,"('22800CE', '21950PE')",27.2,26.0,53.2,,44.0,,,,,,14.518000000000004,0.0,14.518000000000004
2024-05-27,Monday,FALSE,10:50:00,15:25:00,23049.95,"('23400CE', '22600PE')",25.6,24.2,49.8,2024-05-27 11:56:00,46.0,22900PE,54.2,125.9,46.55,89.9,-5.478000000000001,-16.802000000000003,-22.280000000000005
2024-06-03,Monday,FALSE,10:50:00,15:25:00,23262.15,"('24700CE', '21700PE')",23.1,24.1,47.2,2024-06-03 12:15:00,46.0,22150PE,47.55,60.5,44.25,52.0,-5.192000000000001,-4.925500000000003,-10.117500000000003
2024-06-10,Monday,FALSE,10:50:00,15:25:00,23345.05,"('23900CE', '22650PE')",26.85,26.2,53.05,,46.0,,,,,,15.119499999999999,0.0,15.119499999999999
2024-06-14,Friday,FALSE,10:50:00,15:25:00,23460.0,"('23750CE', '23050PE')",24.85,24.1,48.95,,46.0,,,,,,10.460500000000003,0.0,10.460500000000003
2024-06-24,Monday,FALSE,10:50:00,15:25:00,23476.6,"('23750CE', '23150PE')",29.95,29.6,59.55,2024-06-24 11:03:00,46.0,23300PE,50.4,56.6,39.35,39.8,-6.5505,10.096000000000002,3.5455000000000014
2024-07-01,Monday,FALSE,10:50:00,15:25:00,24154.85,"('24400CE', '23700PE')",27.1,26.4,53.5,2024-07-01 11:29:00,48.0,23900PE,50.65,55.15,40.55,45.85,-5.885000000000001,4.293499999999997,-1.5915000000000035
2024-07-08,Monday,FALSE,10:50:00,15:25:00,24343.0,"('24500CE', '24100PE')",34.05,36.3,70.35,2024-07-08 11:11:00,48.0,24400CE,54.0,84.25,49.6,74.95,-7.7385,-16.74,-24.478499999999997
2024-07-12,Friday,FALSE,10:50:00,15:25:00,24426.95,"('24650CE', '24150PE')",32.1,34.85,66.95,2024-07-12 10:54:00,48.0,24300PE,50.95,56.5,39.4,44.5,-7.3645000000000005,5.940500000000003,-1.4239999999999977
2024-07-22,Monday,FALSE,10:50:00,15:25:00,24600.0,"('25350CE', '23750PE')",24.15,24.55,48.7,2024-07-22 11:59:00,48.0,25050CE,55.35,57.15,44.1,49.55,-5.357000000000001,5.246500000000005,-0.11049999999999649
2024-07-29,Monday,FALSE,10:50:00,15:25:00,24964.0,"('25150CE', '24600PE')",33.0,29.95,62.95,2024-07-29 11:32:00,48.0,24850PE,58.25,163.65,53.7,106.9,-6.924500000000001,-18.057499999999997,-24.982
2024-08-05,Monday,FALSE,10:50:00,15:25:00,24169.2,"('24650CE', '23200PE')",27.2,26.35,53.55,2024-08-05 10:53:00,48.0,24500CE,50.5,55.2,34.7,40.0,-5.8905,9.995,4.104499999999999
2024-08-09,Friday,FALSE,10:50:00,15:25:00,24358.7,"('24750CE', '23750PE')",25.1,23.5,48.6,,48.0,,,,,,7.464000000000003,0.0,7.464000000000003
2024-08-19,Monday,FALSE,10:50:00,15:25:00,24560.0,"('24800CE', '24200PE')",25.3,27.95,53.25,,48.0,,,,,,9.2175,0.0,9.2175
2024-08-26,Monday,FALSE,10:50:00,15:25:00,25014.85,"('25200CE', '24800PE')",35.1,38.45,73.55000000000001,,50.0,,,,,,6.764500000000014,0.0,6.764500000000014
2024-09-02,Monday,FALSE,10:50:00,15:25:00,25381.25,"('25500CE', '25050PE')",33.9,33.45,67.35,2024-09-02 12:58:00,50.0,25350CE,60.0,72.4,58.8,65.15,-7.408499999999999,-5.750000000000005,-13.158500000000004
2024-09-09,Monday,FALSE,10:50:00,15:25:00,24961.0,"('25200CE', '24600PE')",29.45,28.5,57.95,,48.0,,,,,,11.620500000000003,0.0,11.620500000000003
2024-09-16,Monday,FALSE,10:50:00,15:25:00,25440.0,"('25650CE', '25100PE')",29.3,27.1,56.400000000000006,2024-09-16 11:35:00,50.0,25500CE,56.95,80.8,54.1,65.4,-6.204000000000001,-17.654500000000002,-23.858500000000003
2024-09-23,Monday,FALSE,10:50:00,15:25:00,25877.3,"('26200CE', '25400PE')",27.5,25.4,52.9,,50.0,,,,,,6.8210000000000015,0.0,6.8210000000000015
2024-09-27,Friday,FALSE,10:50:00,15:25:00,26398.95,"('26600CE', '25900PE')",32.6,32.2,64.80000000000001,,52.0,,,,,,15.102000000000007,0.0,15.102000000000007
2024-10-07,Monday,FALSE,10:50:00,15:25:00,25095.95,"('25500CE', '24150PE')",25.65,25.05,50.7,2024-10-07 11:04:00,50.0,25250CE,54.3,92.1,35.35,39.85,-5.577,-16.833,-22.409999999999997
2024-10-14,Monday,FALSE,10:50:00,15:25:00,25213.85,"('25400CE', '24800PE')",26.55,29.5,56.05,,50.0,,,,,,7.3894999999999955,0.0,7.3894999999999955
2024-10-21,Monday,FALSE,10:50:00,15:25:00,24848.0,"('25100CE', '24400PE')",27.15,25.95,53.099999999999994,2024-10-21 11:46:00,48.0,24900CE,58.05,108.95,45.6,52.3,-5.840999999999999,-17.9955,-23.8365
2024-10-28,Monday,FALSE,10:50:00,15:25:00,24422.0,"('24700CE', '24050PE')",27.45,28.75,56.2,2024-10-28 12:34:00,48.0,24250PE,48.55,93.7,48.25,71.0,-6.182000000000001,-15.050499999999998,-21.232499999999998
2024-11-04,Monday,FALSE,10:50:00,15:25:00,23986.0,"('24500CE', '23100PE')",26.1,26.75,52.85,2024-11-04 11:01:00,46.0,24350CE,46.25,63.9,39.1,60.55,-5.8135,-14.3375,-20.151
2024-11-11,Monday,FALSE,10:50:00,15:25:00,24320.8,"('24550CE', '23900PE')",28.1,27.8,55.900000000000006,2024-11-11 11:16:00,48.0,24150PE,57.85,161.65,49.0,116.55,-6.149000000000001,-17.933500000000002,-24.082500000000003
2024-11-25,Monday,FALSE,10:50:00,15:25:00,24317.75,"('24750CE', '23800PE')",26.0,25.8,51.8,2024-11-25 12:55:00,48.0,24450CE,57.7,74.45,40.85,66.75,-5.6979999999999995,-9.626999999999997,-15.324999999999996
2024-12-02,Monday,FALSE,10:50:00,15:25:00,24275.65,"('24550CE', '23600PE')",25.9,24.1,50.0,2024-12-02 12:28:00,48.0,23850PE,51.55,58.3,32.5,39.1,-5.5,11.934499999999996,6.434499999999996
2024-12-09,Monday,FALSE,10:50:00,15:25:00,24715.5,"('25100CE', '24150PE')",27.8,27.55,55.35,,48.0,,,,,,8.846499999999999,0.0,8.846499999999999
2024-12-16,Monday,FALSE,10:50:00,15:25:00,24732.3,"('25150CE', '24150PE')",25.7,24.15,49.849999999999994,2024-12-16 11:02:00,48.0,25000CE,50.55,57.6,42.0,44.55,-5.483499999999999,5.4945,0.011000000000001009
2024-12-20,Friday,FALSE,10:50:00,15:25:00,23982.95,"('24700CE', '23250PE')",23.8,22.75,46.55,2024-12-20 12:50:00,46.0,24250CE,49.7,50.5,23.8,28.75,-5.1205,20.453000000000003,15.332500000000003
2024-12-30,Monday,FALSE,10:50:00,15:25:00,23998.0,"('24150CE', '23550PE')",27.5,27.95,55.45,2024-12-30 11:32:00,46.0,23650PE,46.4,152.55,40.0,102.8,-6.099500000000001,-14.384,-20.4835
