Date,Day,Future,Expiry.Day,Time,Target,StrikeCE,CE Open,CE High,CE Low,CE Close,StrikePE,PE Open,PE High,PE Low,PE Close,PL0,PL0.CE,PL0.PE,Total PNL
2024-06-04,Tuesday,73668.64,FALSE,09:30:00,280.0,77700,310.05,575.0,120.25,145.0,73100,360.0,3344.25,515.85,1629.8,-108.88,-50.38,-58.5,-108.88
2024-06-11,Tuesday,76563.6,FALSE,09:30:00,300.0,77300,301.85,339.35,174.15,187.6,75900,306.0,390.55,158.0,227.2,60.76,110.48,-49.72,60.76
2024-06-18,Tuesday,77129.62,FALSE,09:30:00,300.0,77300,328.6,425.95,317.45,349.35,77000,345.0,343.85,250.0,271.3,15.99,-53.4,69.39,15.99
2024-06-25,Tuesday,77501.66,FALSE,09:30:00,300.0,77700,324.95,588.4,305.9,570.5,77200,325.0,336.1,165.3,178.75,89.39,-52.8,142.19,89.39
2024-07-02,Tuesday,79461.06,FALSE,09:30:00,300.0,79800,328.0,390.45,217.5,275.1,79100,326.9,412.3,236.95,288.6,-106.42,-53.3,-53.12,-106.42
2024-07-09,Tuesday,80133.4,FALSE,09:30:00,320.0,80200,346.85,505.7,336.35,450.0,80000,330.0,343.95,214.5,241.0,28.52,-56.36,84.88,28.52
2024-07-15,Monday,80682.52,FALSE,09:30:00,320.0,81000,329.65,375.0,265.7,320.85,80300,323.55,348.75,257.55,282.25,41.94,4.68,37.26,41.94
2024-07-23,Tuesday,80576.73,FALSE,09:30:00,320.0,81800,334.1,380.4,71.5,96.85,79300,320.45,659.45,80.55,114.15,181.0,233.07,-52.07,181.0
2024-07-30,Tuesday,81343.22,FALSE,09:30:00,320.0,81500,368.3,541.45,344.35,383.05,81200,358.65,367.85,171.7,249.65,44.67,-59.85,104.52,44.67
2024-08-06,Tuesday,79660.32,FALSE,09:30:00,300.0,80400,318.15,337.55,94.0,123.3,78900,317.35,803.05,293.4,674.9,139.3,190.87,-51.57,139.3
2024-08-12,Monday,79440.84,FALSE,09:30:00,300.0,80100,317.5,563.6,227.7,294.45,78800,323.0,356.35,159.45,225.25,42.12,-51.59,93.71,42.12
2024-08-20,Tuesday,80574.56,FALSE,09:30:00,320.0,80700,352.25,553.0,339.2,399.5,80500,354.6,366.7,200.15,254.7,38.23,-57.24,95.47,38.23
2024-08-27,Tuesday,81685.53,FALSE,09:30:00,320.0,81800,320.8,429.2,273.0,305.0,81600,335.0,355.8,218.0,282.5,-3.82,-52.13,48.31,-3.82
2024-09-03,Tuesday,82519.11,FALSE,09:30:00,320.0,82600,337.35,404.25,297.5,325.9,82500,344.2,378.0,280.1,328.4,-43.32,-54.82,11.5,-43.32
2024-09-10,Tuesday,81730.5,FALSE,09:30:00,320.0,81700,342.3,644.05,246.35,457.4,81700,335.45,544.55,175.0,235.15,-110.13,-55.62,-54.51,-110.13
2024-09-17,Tuesday,82935.83,FALSE,09:30:00,320.0,83100,361.75,428.05,315.65,392.95,82900,375.0,416.0,295.2,337.55,-26.02,-58.78,32.76,-26.02
2024-09-24,Tuesday,84879.12,FALSE,09:30:00,320.0,85100,335.8,424.8,287.15,326.6,84500,324.95,331.9,208.05,259.9,6.42,-54.57,60.99,6.42
2024-09-30,Monday,85117.61,FALSE,09:30:00,340.0,85500,346.1,352.75,137.55,156.0,85000,340.35,887.0,335.15,758.8,130.46,185.77,-55.31,130.46
2024-10-08,Tuesday,81166.98,FALSE,09:30:00,320.0,82100,324.85,418.0,249.2,358.2,80200,324.7,375.0,136.35,156.9,-105.55,-52.79,-52.76,-105.55
2024-10-15,Tuesday,82150.95,FALSE,09:30:00,320.0,82300,326.65,351.8,167.65,212.35,82100,328.0,690.05,302.4,519.3,56.92,110.22,-53.3,56.92
2024-10-22,Tuesday,81282.97,FALSE,09:30:00,320.0,81500,319.55,440.95,105.85,120.3,81100,322.55,1007.1,214.45,950.25,-104.34,-51.93,-52.41,-104.34
2024-10-28,Monday,79558.19,FALSE,09:30:00,300.0,79900,332.0,830.0,292.95,475.75,79200,338.15,558.15,95.0,130.55,-108.9,-53.95,-54.95,-108.9
2024-11-05,Tuesday,78734.3,FALSE,09:30:00,300.0,79700,315.75,498.3,216.9,463.5,77800,329.15,476.5,135.15,174.6,-104.8,-51.31,-53.49,-104.8
2024-11-11,Monday,79360.15,FALSE,09:30:00,300.0,79600,336.6,764.95,282.05,368.0,79100,323.75,351.05,99.0,222.7,42.3,-54.7,97.0,42.3
2024-11-18,Monday,77413.87,FALSE,09:30:00,300.0,77900,315.1,449.35,171.7,252.75,76900,303.4,518.25,204.8,282.55,-100.5,-51.2,-49.3,-100.5
2024-11-26,Tuesday,80337.97,FALSE,09:30:00,320.0,80700,327.6,356.45,150.8,199.55,79800,317.35,503.8,265.95,335.65,72.38,123.95,-51.57,72.38
2024-12-03,Tuesday,80342.35,FALSE,09:30:00,320.0,81000,353.0,555.0,327.35,469.2,79600,345.0,377.95,164.05,220.05,63.28,-57.36,120.64,63.28
2024-12-10,Tuesday,81481.24,FALSE,09:30:00,320.0,82000,328.2,426.8,224.7,298.0,81100,344.5,475.05,248.0,302.85,-109.31,-53.33,-55.98,-109.31
2024-12-17,Tuesday,81487.36,FALSE,09:30:00,320.0,82300,332.05,356.95,139.2,157.95,80900,326.55,645.0,288.6,518.2,116.89,169.95,-53.06,116.89
2024-12-23,Monday,78682.58,FALSE,09:30:00,300.0,79500,321.8,334.75,136.8,182.8,78200,332.6,458.3,175.8,273.2,80.93,134.98,-54.05,80.93
